Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_int;alpha_high_er_int;alpha_low_int;alpha_low_er_int;Mc_int;Mc_er_int;offset_int;offset_er_int;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
UBC_178;346.2013;63.3254;0.827;0.005;6.92;0.046;-0.047;0.07;2.114;0.034;342;-1.61862;0.1493;1.78166;0.23981;-0.18821;0.02622;1.57744;0.04001;576;115;0.60526;0.66949;0.23362;1.04061;1.92068;0.10801;0.39222
UBC_179;350.9415;59.5013;1.16;0.01;8.325;0.081;0.156;0.071;1.935;0.074;142;-1.52625;0.49928;1.69698;0.34041;-0.02316;0.0612;1.62356;0.13294;426;85;0.56338;0.61549;0.23514;1.06546;2.4774;0.21089;0.07463
UBC_194;37.7173;48.3366;1.276;0.028;8.486;0.032;-0.112;0.063;0.772;0.078;124;-1.84952;0.51094;1.73755;0.32444;-0.11293;0.04521;1.36232;0.09347;308;61;0.48387;0.57865;0.24985;1.42841;3.51482;0.35197;0.00093
UBC_198;82.1311;35.6967;1.8;0.034;7.475;0.041;-0.122;0.048;1.485;0.087;259;-1.86273;0.23975;2.46267;0.29879;-0.08948;0.02376;1.63179;0.06203;883;176;0.5251;0.67699;0.24769;1.10317;3.98933;0.19245;0.01432
UBC_237;118.6061;-29.7412;1.721;0.044;8.498;0.146;-0.118;0.063;1.2;0.089;157;-1.95962;0.35136;2.36445;0.25719;-0.09397;0.02434;1.46596;0.05966;511;102;0.56688;0.63463;0.22376;1.19395;3.76991;0.28611;0.00256
UBC_245;129.3148;-45.2286;1.977;0.074;7.274;0.086;0.002;0.033;1.644;0.062;231;-2.0937;0.25832;2.1414;0.23446;0.00135;0.02251;1.7609;0.06651;561;112;0.61472;0.71363;0.25842;1.15295;4.72386;0.24641;0.00335
UBC_249;137.0107;-52.9449;1.724;0.036;8.178;0.142;0.152;0.044;1.004;0.12;235;-1.81844;0.3411;2.26766;0.3481;-0.06896;0.03191;1.6854;0.06413;715;143;0.60426;0.71519;0.2429;0.99713;4.21405;0.1949;0.01939
UBC_251;140.4339;-51.2188;1.792;0.02;7.881;0.115;0.147;0.062;1.55;0.047;183;-1.75522;0.33785;1.81709;0.269;-0.03656;0.03486;1.59637;0.08682;478;95;0.50273;0.59776;0.26227;1.05222;2.61976;0.21177;0.02899
UBC_253;139.5608;-56.014;1.572;0.017;8.332;0.21;-0.064;0.046;1.048;0.096;103;-1.8642;0.52559;1.86317;0.37712;-0.03352;0.04132;1.49844;0.10434;306;61;0.48544;0.60538;0.25779;1.57852;2.42233;0.36054;0.00169
UBC_270;169.8047;-59.5529;2.232;0.08;7.908;0.171;0.076;0.039;1.213;0.045;276;-1.79008;0.35664;2.21388;0.37899;-0.04313;0.03472;1.76677;0.0799;758;151;0.6087;0.73561;0.27118;1.30178;5.01115;0.24495;0.0004
