Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_ind;e_alpha_high_ind;alpha_low_ind;e_alpha_low_ind;Mc_ind;e_Mc_ind;offset_ind;e_offset_ind;alpha_high_prim;e_alpha_high_prim;alpha_low_prim;e_alpha_low_prim;Mc_prim;e_Mc_prim;offset_prim;e_offset_prim;alpha_high_sec;e_alpha_high_sec;alpha_low_sec;e_alpha_low_sec;Mc_sec;e_Mc_sec;offset_sec;e_offset_sec;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
NGC_6728;284.7119;-8.9423;1.699;0.021;8.762;0.041;0.122;0.049;0.876;0.092;511;-2.99881;0.46941;0.24382;2.671;-0.05767;0.0602;1.46773;0.06155;-1.72928;0.50117;2.38673;0.95786;0.08996;0.04211;1.78982;0.13273;-2.1742;1.14119;0.81826;0.22201;0.02131;0.07313;1.78638;0.21774;1201;240;0.49315;0.60354;0.25556;1.45218;5.67041;0.36157;0.0
NGC_6811;294.3895;46.3864;1.107;0.007;9.003;0.012;-0.021;0.025;0.255;0.042;363;-2.84741;0.54067;0.73597;0.62671;-0.04342;0.0304;1.43445;0.06508;-2.9428;1.48799;1.31502;0.3552;0.17631;0.04797;2.04354;0.40316;-1.58552;1.546;0.63923;0.22246;-0.02175;0.11713;1.50283;0.21119;646;129;0.45455;0.60109;0.27798;1.60368;4.83898;0.27829;0.0
NGC_6940;308.5568;28.3041;1.0;0.009;9.022;0.017;0.008;0.045;0.709;0.055;715;-3.0;0.41362;0.05252;0.5958;-0.04579;0.02983;1.60326;0.04772;-0.37389;0.64489;0.68043;0.3604;0.11662;0.10881;1.69151;0.15239;-1.28102;0.36329;1.20736;0.14732;-0.07743;0.03475;1.70839;0.04685;1645;329;0.49231;0.68548;0.23586;1.27642;8.02996;0.25631;0.0
NGC_6991;313.7985;47.2687;0.551;0.01;9.157;0.013;0.07;0.032;0.32;0.052;332;-1.75723;0.66206;0.39527;0.82535;-0.12404;0.09789;1.16178;0.07762;-0.89618;1.06778;0.81328;0.27397;0.10077;0.10651;1.59556;0.23612;-2.0251;0.87338;1.04141;0.24119;-0.09964;0.05356;1.47065;0.07928;610;122;0.58735;0.69392;0.24761;1.40022;9.33495;0.341;0.0
NGC_7209;331.1915;46.5209;1.178;0.017;8.625;0.095;0.048;0.064;0.699;0.089;410;-2.88038;0.50254;0.42643;1.51452;-0.06438;0.04385;1.37199;0.06094;-0.73179;0.42789;1.0268;0.42068;0.14501;0.07556;1.61079;0.1429;-1.96185;0.42898;1.11984;0.16096;0.03818;0.03067;1.69126;0.07754;982;196;0.50244;0.61968;0.23211;1.33706;7.02632;0.23281;2e-05
Ruprecht_145;282.6172;-18.2013;0.588;0.001;8.985;0.02;0.062;0.039;0.691;0.073;265;-3.0;0.70305;1.72282;1.45164;-0.13542;0.03675;1.08644;0.07412;-2.48544;1.54636;1.39973;0.20792;0.15163;0.04943;1.87611;0.41472;-2.63291;0.67991;1.23537;0.18657;-0.03767;0.03208;1.49478;0.08585;444;88;0.53962;0.67119;0.21602;1.32645;4.55717;0.22773;0.00181
Ruprecht_171;278.0051;-16.0778;1.468;0.028;9.482;0.017;0.07;0.048;0.934;0.035;833;-1.79204;1.13416;2.70022;1.98943;-0.04415;0.04074;1.59249;0.08144;-0.19397;0.82428;2.75976;0.68496;0.03811;0.03316;1.81551;0.08851;-2.39467;0.74136;1.23591;0.14827;-0.06964;0.02394;1.82286;0.04537;2573;514;0.63986;0.62669;0.24489;1.20218;3.27741;0.14623;0.00029
Stock_1;294.1005;25.2128;0.386;0.01;8.733;0.046;0.059;0.074;0.33;0.035;202;-2.62902;0.48476;3.0;1.6662;-0.19727;0.03117;0.84806;0.06963;-1.68109;3.0135;0.01;0.38103;0.2;0.20207;1.60484;0.86034;-1.4813;1.06918;0.37346;0.45954;-0.15039;0.17093;1.21128;0.15244;313;62;0.62871;0.6745;0.22037;1.15623;3.87321;0.16364;0.1435
Teutsch_35;294.2069;35.6896;0.491;0.0;8.0;0.0;-0.01;0.0;0.031;0.0;149;-3.0;4.35366;1.54577;2.53234;-0.2;0.13871;0.58059;0.41721;-1.9321;0.56609;0.89488;0.43702;0.00445;0.06;1.3976;0.11323;-2.14343;0.61677;0.01;0.16154;-0.00771;0.06608;1.1663;0.10426;203;40;0.63087;0.60581;0.24389;1.13015;4.16828;0.17476;0.36403
Trumpler_32;274.2983;-13.332;1.605;0.031;8.874;0.036;0.079;0.033;2.431;0.02;566;-1.47372;0.83953;0.93006;1.64277;0.03931;0.073;1.62943;0.17208;-0.82137;0.38199;3.0;1.61695;0.00871;0.03226;1.72129;0.08522;-2.13385;0.55044;1.36298;0.13733;0.03084;0.02803;1.87911;0.09858;1480;296;0.61661;0.74902;0.2573;1.13232;2.20989;0.16045;0.01189
UPK_467;121.1521;-11.5551;0.572;0.0;8.0;0.0;-0.045;0.0;0.01;0.0;165;-3.0;1.58582;0.46153;0.96508;-0.2;0.07627;0.66932;0.17698;-2.04608;1.217;0.19309;0.3186;0.08185;0.11528;1.32046;0.3312;-1.22224;0.47834;0.57327;0.18863;-0.2;0.07441;0.9771;0.06037;223;44;0.47273;0.55987;0.21717;1.08538;5.90289;0.2093;0.14466
